bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary
stivral01,1985-86,23,SEA,NBA,3,4.7,.250,.250,1.0,0.3,0.0,0.0,1.0,-5.9,-0.1,-0.347,-13.4,0.0,,
stivral01,1986-87,24,Did Not Play (other pro league—France),,,,,,,,,,,,,,,,,
stivral01,1987-88,25,Did Not Play (other pro league—France),,,,,,,,,,,,,,,,,
stivral01,1988-89,26,Did Not Play (other pro league—France),,,,,,,,,,,,,,,,,
stivral01,1989-90,27,Did Not Play (other pro league—France),,,,,,,,,,,,,,,,,
stivral01,1990-91,28,Did Not Play (other pro league—CBA),,,,,,,,,,,,,,,,,
stivral01,1991-92,29,Did Not Play (other pro league—Italy),,,,,,,,,,,,,,,,,
stivral01,1992-93,30,Phoenix Suns,NBA,19,4.0,.487,.750,1.0,0.2,0.1,0.1,2.2,13.5,0.0,.013,-8.1,-0.1,,140000
stivral01,1992-93,30,Phoenix Suns,NBA,10,3.5,.611,,0.8,0.1,0.1,0.1,2.2,14.5,0.0,.022,-6.2,0.0,,140000
stivral01,1992-93,30,Phoenix Suns,NBA,1,1.0,.000,,0.0,0.0,0.0,0.0,0.0,-32.3,0.0,-0.903,-44.9,0.0,,140000
stivral01,1992-93,30,Phoenix Suns,NBA,3,8.3,.364,.750,2.0,0.7,0.3,0.0,3.7,10.9,0.0,-0.004,-6.3,0.0,,140000
stivral01,1992-93,30,Phoenix Suns,NBA,5,3.0,.444,,1.0,0.0,0.0,0.2,1.6,18.8,0.0,.082,-13.0,0.0,,140000
