bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
brownpj01,1993-94,24,NJN,NBA,79,24.7,.415,.757,6.2,1.2,0.9,1.2,5.7,12.2,4.2,.105,1.3,1.6,
brownpj01,1994-95,25,NJN,NBA,80,30.8,.446,.671,6.1,1.7,0.9,1.7,8.1,12.1,4.6,.090,1.3,2.0,
brownpj01,1995-96,26,NJN,NBA,81,36.3,.444,.770,6.9,2.0,1.0,1.2,11.3,12.6,5.3,.087,1.2,2.4,
brownpj01,1996-97,27,MIA,NBA,80,32.4,.457,.732,8.4,1.2,1.1,1.2,9.5,13.8,7.5,.139,1.4,2.2,
brownpj01,1997-98,28,MIA,NBA,74,31.9,.471,.766,8.6,1.4,0.9,1.3,9.6,15.0,7.5,.152,2.4,2.6,
brownpj01,1998-99,29,MIA,NBA,50,32.2,.480,.774,6.9,1.3,0.9,1.0,11.4,15.8,5.1,.153,1.7,1.5,
brownpj01,1999-00,30,MIA,NBA,80,28.8,.480,.755,7.5,1.8,0.8,0.8,9.6,15.3,6.9,.143,1.8,2.2,
brownpj01,2000-01,31,CHH,NBA,80,35.1,.444,.852,9.3,1.6,1.0,1.2,8.5,13.3,8.0,.137,1.5,2.5,
brownpj01,2001-02,32,CHH,NBA,80,32.0,.474,.858,9.8,1.3,0.7,1.0,8.4,15.1,8.2,.154,1.8,2.5,
brownpj01,2002-03,33,NOH,NBA,78,33.4,.531,.836,9.0,1.9,0.9,1.0,10.7,17.6,10.2,.188,3.4,3.6,
brownpj01,2003-04,34,NOH,NBA,80,34.4,.476,.854,8.6,1.9,1.0,0.9,10.5,15.7,8.1,.142,1.6,2.5,
brownpj01,2004-05,35,NOH,NBA,82,34.4,.446,.864,9.0,2.2,0.9,0.6,10.8,15.5,6.9,.118,1.3,2.3,
brownpj01,2005-06,36,NOK,NBA,75,31.7,.461,.827,7.3,1.2,0.6,0.7,9.0,12.7,4.4,.088,-0.3,1.0,
brownpj01,2006-07,37,CHI,NBA,72,20.2,.407,.787,4.8,0.7,0.3,0.7,6.1,9.7,2.3,.075,-3.0,-0.4,
brownpj01,2007-08,38,BOS,NBA,18,11.6,.341,.688,3.8,0.6,0.3,0.4,2.2,10.2,0.5,.116,-0.5,0.1,
