bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,HS,Salary
johnsed03,1981-82,22,KCK,NBA,74,20.5,.459,.664,4.4,1.5,0.7,0.2,9.3,13.1,1.8,.056,-1.6,0.1,,"Westinghouse in Chicago, Illinois",
johnsed03,1982-83,23,KCK,NBA,82,35.8,.494,.779,6.1,2.6,0.9,0.2,19.8,15.9,7.4,.121,0.8,2.1,,"Westinghouse in Chicago, Illinois",
johnsed03,1983-84,24,KCK,NBA,82,35.6,.485,.810,5.5,3.6,0.9,0.3,21.9,16.6,5.6,.093,0.7,2.0,,"Westinghouse in Chicago, Illinois",
johnsed03,1984-85,25,Kansas City Kings,NBA,82,36.9,.491,.871,5.0,3.3,1.0,0.3,22.9,16.2,5.3,.083,-0.3,1.3,,"Westinghouse in Chicago, Illinois",225000
johnsed03,1985-86,26,Sacramento Kings,NBA,82,30.7,.475,.816,5.1,2.6,0.7,0.2,18.7,15.8,4.0,.077,-1.2,0.5,,"Westinghouse in Chicago, Illinois",325000
johnsed03,1986-87,27,SAC,NBA,81,30.3,.463,.829,4.4,3.1,0.5,0.2,18.7,16.2,4.3,.084,-0.7,0.8,,"Westinghouse in Chicago, Illinois",
johnsed03,1987-88,28,Phoenix Suns,NBA,73,29.8,.480,.850,4.4,2.5,0.5,0.1,17.7,15.2,3.0,.065,-2.0,0.0,,"Westinghouse in Chicago, Illinois",675000
johnsed03,1988-89,29,Phoenix Suns,NBA,70,29.2,.497,.868,4.4,2.3,0.7,0.1,21.5,19.4,6.5,.152,1.3,1.7,,"Westinghouse in Chicago, Illinois",675000
johnsed03,1989-90,30,PHO,NBA,64,28.3,.453,.917,3.8,1.7,0.5,0.2,16.9,14.9,3.9,.104,-1.4,0.3,,"Westinghouse in Chicago, Illinois",
johnsed03,1990-91,31,Seattle SuperSonics,NBA,81,25.7,.484,.891,3.3,1.4,0.7,0.1,16.7,17.8,5.5,.127,-1.3,0.4,,"Westinghouse in Chicago, Illinois",1000000
johnsed03,1990-91,31,Seattle SuperSonics,NBA,15,20.8,.473,.724,3.1,1.1,0.6,0.1,13.5,14.5,0.3,.051,-3.9,-0.1,,"Westinghouse in Chicago, Illinois",1000000
johnsed03,1990-91,31,Seattle SuperSonics,NBA,66,26.9,.486,.912,3.4,1.4,0.7,0.1,17.4,18.4,5.2,.140,-0.8,0.5,,"Westinghouse in Chicago, Illinois",1000000
johnsed03,1991-92,32,Seattle SuperSonics,NBA,81,29.2,.459,.861,3.6,2.0,0.7,0.1,17.1,16.1,5.6,.114,-1.3,0.4,,"Westinghouse in Chicago, Illinois",1050000
johnsed03,1992-93,33,Seattle SuperSonics,NBA,82,22.8,.467,.911,3.3,1.6,0.4,0.0,14.4,17.1,4.8,.124,-2.1,-0.1,,"Westinghouse in Chicago, Illinois",1100000
johnsed03,1993-94,34,Charlotte Hornets,NBA,73,20.0,.459,.780,3.1,1.7,0.5,0.1,11.5,15.9,2.4,.079,-1.5,0.2,,"Westinghouse in Chicago, Illinois",1150000
johnsed03,1994-95,35,Did Not Play (other pro league—Greece),,,,,,,,,,,,,,,,,"Westinghouse in Chicago, Illinois",
johnsed03,1995-96,36,Indiana Pacers,NBA,62,16.2,.413,.886,2.5,1.1,0.3,0.1,7.7,13.1,1.6,.077,-2.2,0.0,,"Westinghouse in Chicago, Illinois",1000000
johnsed03,1996-97,37,Indiana Pacers,NBA,52,17.6,.442,.809,2.7,1.0,0.3,0.0,8.2,13.4,1.8,.093,-2.4,-0.1,,"Westinghouse in Chicago, Illinois",1200000
johnsed03,1996-97,37,Indiana Pacers,NBA,28,10.9,.434,.741,1.4,0.6,0.2,0.0,5.3,11.7,0.3,.048,-5.3,-0.3,,"Westinghouse in Chicago, Illinois",1200000
johnsed03,1996-97,37,Indiana Pacers,NBA,24,25.3,.447,.854,4.1,1.5,0.4,0.0,11.5,14.2,1.5,.115,-1.0,0.2,,"Westinghouse in Chicago, Illinois",1200000
johnsed03,1997-98,38,Houston Rockets,NBA,75,19.9,.417,.831,2.0,1.2,0.4,0.0,8.4,13.1,2.2,.070,-3.1,-0.4,,"Westinghouse in Chicago, Illinois",326700
johnsed03,1998-99,39,HOU,NBA,3,6.0,.462,,0.7,0.3,0.0,0.0,4.0,10.2,-0.1,-0.134,-13.7,-0.1,,"Westinghouse in Chicago, Illinois",
