bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
gilliar01,1987-88,23,PHO,NBA,55,32.9,.475,.679,7.9,1.3,1.1,0.5,14.8,12.9,1.3,.035,-3.0,-0.5,
gilliar01,1988-89,24,PHO,NBA,74,28.6,.503,.743,7.3,0.7,0.7,0.4,15.9,15.7,5.1,.115,-2.1,-0.1,
gilliar01,1989-90,25,"PHO,CHH",NBA,76,31.9,.515,.723,7.9,1.3,0.9,0.7,16.7,16.6,4.5,.090,-0.3,1.1,
gilliar01,1990-91,26,"CHH,PHI",NBA,75,35.3,.487,.815,8.0,1.4,0.9,0.7,16.6,15.5,4.6,.083,-1.2,0.5,
gilliar01,1991-92,27,PHI,NBA,81,34.2,.511,.807,8.1,1.5,0.6,1.0,16.9,18.0,7.6,.131,0.0,1.4,
gilliar01,1992-93,28,PHI,NBA,80,21.8,.464,.843,5.9,1.5,0.5,0.7,12.4,17.5,2.8,.077,-2.9,-0.4,
gilliar01,1993-94,29,NJN,NBA,82,24.0,.510,.759,6.1,0.8,0.5,0.7,11.8,18.5,6.8,.166,0.1,1.0,
gilliar01,1994-95,30,NJN,NBA,82,30.1,.503,.770,7.5,1.2,0.8,1.1,14.8,18.1,6.6,.128,-0.1,1.2,
gilliar01,1995-96,31,NJN,NBA,78,36.6,.474,.791,9.1,1.8,0.9,0.7,18.3,17.6,6.7,.113,0.4,1.7,
gilliar01,1996-97,32,MIL,NBA,80,25.6,.471,.768,6.2,0.7,0.8,0.5,8.6,13.6,4.1,.097,-2.3,-0.2,
gilliar01,1997-98,33,MIL,NBA,82,25.8,.484,.802,5.4,1.3,0.8,0.5,11.2,16.4,5.3,.119,-0.8,0.7,
gilliar01,1998-99,34,MIL,NBA,34,19.6,.453,.782,3.7,0.6,0.6,0.4,8.3,15.9,1.5,.110,-2.9,-0.2,
gilliar01,1999-00,35,UTA,NBA,50,15.6,.436,.779,4.2,0.8,0.2,0.3,6.7,14.0,1.2,.075,-3.1,-0.2,
