name,link,year_from,year_to,college,active
Joe Pace,/players/p/pacejo01.html,1977,1978,Coppin State University,false
Zaza Pachulia,/players/p/pachuza01.html,2004,2019,,true
Robert Pack,/players/p/packro01.html,1992,2004,USC,false
Gerald Paddio,/players/p/paddige01.html,1991,1994,UNLV,false
Scott Padgett,/players/p/padgesc01.html,2000,2007,Kentucky,false
Marcus Paige,/players/p/paigema01.html,2018,2018,UNC,true
Milt Palacio,/players/p/palacmi01.html,2000,2006,"Midland College, Colorado State",false
Walter Palmer,/players/p/palmewa01.html,1991,1993,Dartmouth College,false
Andy Panko,/players/p/pankoan01.html,2001,2001,Lebanon Valley College,false
Georgios Papagiannis,/players/p/papagge01.html,2017,2018,,true
Kostas Papanikolaou,/players/p/papanko01.html,2015,2016,,false
Jannero Pargo,/players/p/pargoja01.html,2003,2015,Arkansas,false
Jeremy Pargo,/players/p/pargoje01.html,2012,2013,Gonzaga,false
Robert Parish,/players/p/parisro01.html,1977,1997,Centenary College of Louisiana,false
Anthony Parker,/players/p/parkean01.html,1998,2012,Bradley,false
Jabari Parker,/players/p/parkeja01.html,2015,2019,Duke,true
Smush Parker,/players/p/parkesm01.html,2003,2008,Fordham,false
Sonny Parker,/players/p/parkeso01.html,1977,1982,Texas A&M,false
Tony Parker,/players/p/parketo01.html,2002,2019,,false
Cherokee Parks,/players/p/parksch02.html,1996,2004,Duke,false
Chandler Parsons,/players/p/parsoch01.html,2012,2019,Florida,true
Žarko Paspalj,/players/p/paspaza01.html,1990,1990,,false
Myles Patrick,/players/p/patrimy01.html,1981,1981,Auburn,false
Andrae Patterson,/players/p/pattean01.html,1999,2000,Indiana,false
Lamar Patterson,/players/p/pattela01.html,2016,2017,Pitt,true
Patrick Patterson,/players/p/pattepa01.html,2011,2019,Kentucky,true
Ruben Patterson,/players/p/patteru01.html,1999,2008,Cincinnati,false
Justin Patton,/players/p/pattoju01.html,2018,2019,Creighton,true
Brandon Paul,/players/p/paulbr01.html,2018,2018,Illinois,true
Chris Paul,/players/p/paulch01.html,2006,2019,Wake Forest,true
Billy Paultz,/players/p/paultbi01.html,1971,1985,"Cameron University, St. John's",false
Sasha Pavlović,/players/p/pavloal01.html,2004,2013,,false
Jim Paxson,/players/p/paxsoji02.html,1980,1990,Dayton,false
John Paxson,/players/p/paxsojo01.html,1984,1994,Notre Dame,false
Adreian Payne,/players/p/paynead01.html,2015,2018,Michigan State,true
Cameron Payne,/players/p/payneca01.html,2016,2019,Murray State,true
Kenny Payne,/players/p/payneke01.html,1990,1993,Louisville,false
Elfrid Payton,/players/p/paytoel01.html,2015,2019,Louisiana,true
Gary Payton,/players/p/paytoga01.html,1991,2007,Oregon State,false
Gary Payton,/players/p/paytoga02.html,2017,2019,Oregon State,true
Oleksiy Pecherov,/players/p/pecheol01.html,2008,2010,,false
Wiley Peck,/players/p/peckwi01.html,1980,1980,Mississippi State,false
Anthony Peeler,/players/p/peelean01.html,1993,2005,Missouri,false
Nikola Peković,/players/p/pekovni01.html,2011,2016,,false
Sam Pellom,/players/p/pellosa01.html,1980,1983,Buffalo,false
Mike Penberthy,/players/p/penbemi01.html,2001,2002,Master's College,false
Desmond Penigar,/players/p/penigde01.html,2004,2004,Utah State University,false
Kirk Penney,/players/p/penneki01.html,2004,2005,Wisconsin,false
Mike Peplowski,/players/p/peplomi01.html,1994,1996,Michigan State,false
Will Perdue,/players/p/perduwi01.html,1989,2001,Vanderbilt,false
Kendrick Perkins,/players/p/perkike01.html,2004,2018,,true
Sam Perkins,/players/p/perkisa01.html,1985,2001,UNC,false
Kosta Perović,/players/p/perovko01.html,2008,2008,,false
London Perrantes,/players/p/perralo01.html,2018,2018,Virginia,true
Curtis Perry,/players/p/perrycu01.html,1971,1978,Missouri State University,false
Elliot Perry,/players/p/perryel01.html,1992,2002,Memphis,false
Tim Perry,/players/p/perryti01.html,1989,1996,Temple,false
Chuck Person,/players/p/persoch01.html,1987,2000,Auburn,false
Wesley Person,/players/p/persowe01.html,1995,2005,Auburn,false
Alec Peters,/players/p/peteral01.html,2018,2018,Valparaiso,true
Jim Petersen,/players/p/peterji01.html,1985,1992,Minnesota,false
Morris Peterson,/players/p/petermo01.html,2001,2011,Michigan State,false
Johan Petro,/players/p/petrojo01.html,2006,2013,,false
Dražen Petrović,/players/p/petrodr01.html,1990,1993,,false
Richard Petruška,/players/p/petruri01.html,1994,1994,"Loyola Marymount University, UCLA",false
Roger Phegley,/players/p/pheglro01.html,1979,1984,Bradley,false
Derrick Phelps,/players/p/phelpde01.html,1995,1995,UNC,false
Michael Phelps,/players/p/phelpmi01.html,1986,1988,Alcorn State University,false
Eddie Phillips,/players/p/philled01.html,1983,1983,Alabama,false
Bobby Phills,/players/p/phillbo01.html,1992,2000,Southern University and A&M College,false
Eric Piatkowski,/players/p/piatker01.html,1995,2008,Nebraska,false
Paul Pierce,/players/p/piercpa01.html,1999,2017,Kansas,false
Ricky Pierce,/players/p/piercri01.html,1983,1998,Rice University,false
Stan Pietkiewicz,/players/p/pietkst01.html,1979,1981,Auburn,false
Mickaël Piétrus,/players/p/pietrmi01.html,2004,2013,,false
Ed Pinckney,/players/p/pincked01.html,1986,1997,Villanova,false
Kevinn Pinkney,/players/p/pinknke01.html,2007,2007,Nevada,false
John Pinone,/players/p/pinonjo01.html,1984,1984,Villanova,false
Theo Pinson,/players/p/pinsoth01.html,2019,2019,UNC,true
Tom Piotrowski,/players/p/piotrto01.html,1984,1984,La Salle,false
Scottie Pippen,/players/p/pippesc01.html,1988,2004,University of Central Arkansas,false
Charles Pittman,/players/p/pittmch01.html,1983,1986,Maryland,false
Dexter Pittman,/players/p/pittmde01.html,2011,2014,Texas,false
Zoran Planinić,/players/p/planizo01.html,2004,2006,,false
Tibor Pleiß,/players/p/pleisti01.html,2016,2016,,false
Marshall Plumlee,/players/p/plumlma02.html,2017,2018,Duke,true
Mason Plumlee,/players/p/plumlma01.html,2014,2019,Duke,true
Miles Plumlee,/players/p/plumlmi01.html,2013,2019,Duke,true
Gary Plummer,/players/p/plummga01.html,1985,1993,Boston University,false
Pavel Podkolzin,/players/p/podkopa01.html,2005,2006,,false
Dwayne Polee,/players/p/poleedw01.html,1987,1987,"UNLV, Pepperdine",false
Scot Pollard,/players/p/pollasc01.html,1998,2008,Kansas,false
Jakob Pöltl,/players/p/poeltja01.html,2017,2019,Utah,true
Olden Polynice,/players/p/polynol01.html,1988,2004,Virginia,false
Cliff Pondexter,/players/p/pondecl01.html,1976,1978,Cal State Long Beach,false
Quincy Pondexter,/players/p/pondequ01.html,2011,2019,Washington,true
David Pope,/players/p/popeda01.html,1985,1986,Norfolk State,false
Mark Pope,/players/p/popema01.html,1998,2005,"Washington, Kentucky",false
Dave Popson,/players/p/popsoda01.html,1989,1992,UNC,false
Ben Poquette,/players/p/poquebe01.html,1978,1987,Central Michigan University,false
Chris Porter,/players/p/portech01.html,2001,2001,Auburn,false
Howard Porter,/players/p/porteho01.html,1972,1978,Villanova,false
Kevin Porter,/players/p/porteke01.html,1973,1983,Saint Francis University,false
Otto Porter,/players/p/porteot01.html,2014,2019,Georgetown,true
Terry Porter,/players/p/portete01.html,1986,2002,University of Wisconsin-Stevens Point,false
Bobby Portis,/players/p/portibo01.html,2016,2019,Arkansas,true
Kristaps Porziņģis,/players/p/porzikr01.html,2016,2018,,true
James Posey,/players/p/poseyja01.html,2000,2011,Xavier,false
Lavor Postell,/players/p/postela01.html,2001,2003,St. John's,false
Vitaly Potapenko,/players/p/potapvi01.html,1997,2007,Wright State University,false
Leon Powe,/players/p/powele01.html,2007,2011,Cal,false
Dwight Powell,/players/p/poweldw01.html,2015,2019,Stanford,true
Josh Powell,/players/p/poweljo01.html,2006,2014,NC State,false
Kasib Powell,/players/p/powelka01.html,2008,2008,Texas Tech,false
Norman Powell,/players/p/powelno01.html,2016,2019,UCLA,true
Roger Powell,/players/p/powelro01.html,2007,2007,Illinois,false
Alex Poythress,/players/p/poythal01.html,2017,2019,Kentucky,true
Paul Pressey,/players/p/presspa01.html,1983,1993,Tulsa,false
Phil Pressey,/players/p/pressph01.html,2014,2016,Missouri,false
Dominic Pressley,/players/p/pressdo01.html,1989,1989,Boston College,false
Harold Pressley,/players/p/pressha01.html,1987,1990,Villanova,false
A.J. Price,/players/p/priceaj01.html,2010,2015,UConn,false
Brent Price,/players/p/pricebr01.html,1993,2002,"South Carolina, Oklahoma",false
Jim Price,/players/p/priceji01.html,1973,1979,Louisville,false
Mark Price,/players/p/pricema01.html,1987,1998,Georgia Tech,false
Ronnie Price,/players/p/pricero01.html,2006,2017,"Nicholls State University, Utah Valley State College",true
Tony Price,/players/p/priceto01.html,1981,1981,University of Pennsylvania,false
Pablo Prigioni,/players/p/prigipa01.html,2013,2016,,false
Tayshaun Prince,/players/p/princta01.html,2003,2016,Kentucky,false
Kevin Pritchard,/players/p/pritcke01.html,1991,1996,Kansas,false
Laron Profit,/players/p/profila01.html,2000,2006,Maryland,false
Gabe Pruitt,/players/p/pruitga01.html,2008,2009,USC,false
Joel Przybilla,/players/p/przybjo01.html,2001,2013,Minnesota,false
Anthony Pullard,/players/p/pullaan01.html,1993,1993,McNeese State University,false
Jacob Pullen,/players/p/pulleja01.html,2018,2018,Kansas State,true
