name,link,year_from,year_to,college,active
Sheldon Mac,/players/m/mcclesh01.html,2017,2017,University of Miami,true
Todd MacCulloch,/players/m/maccuto01.html,2000,2003,University of Washington,false
Scott Machado,/players/m/machasc01.html,2013,2013,Iona College,false
Arvydas Macijauskas,/players/m/macijar01.html,2006,2006,,false
Ollie Mack,/players/m/mackol01.html,1980,1982,East Carolina University,false
Sam Mack,/players/m/macksa01.html,1993,2002,"Iowa State University, Tyler Junior College, University of Houston",false
Shelvin Mack,/players/m/macksh01.html,2012,2018,Butler University,true
Malcolm Mackey,/players/m/mackema01.html,1994,1994,Georgia Institute of Technology,false
Rudy Macklin,/players/m/macklru01.html,1982,1984,Louisiana State University,false
Vernon Macklin,/players/m/macklve01.html,2012,2012,"Georgetown University, University of Florida",false
Don MacLean,/players/m/macledo01.html,1993,2001,"University of California, Los Angeles",false
Mark Macon,/players/m/maconma01.html,1992,1999,Temple University,false
Kyle Macy,/players/m/macyky01.html,1981,1987,"Purdue University, University of Kentucky",false
Tito Maddox,/players/m/maddoti01.html,2003,2003,"California State University, Fresno",false
Gerald Madkins,/players/m/madkige01.html,1994,1998,"University of California, Los Angeles",false
Mark Madsen,/players/m/madsema01.html,2001,2009,Stanford University,false
Josh Magette,/players/m/magetjo01.html,2018,2018,Alabama - Huntsville,true
Corey Maggette,/players/m/maggeco01.html,2000,2013,Duke University,false
Dave Magley,/players/m/magleda01.html,1983,1983,University of Kansas,false
Jamaal Magloire,/players/m/magloja01.html,2001,2012,University of Kentucky,false
Ian Mahinmi,/players/m/mahinia01.html,2008,2018,,true
Rick Mahorn,/players/m/mahorri01.html,1981,1999,Hampton University,false
Dan Majerle,/players/m/majerda01.html,1989,2002,Central Michigan University,false
Renaldo Major,/players/m/majorre01.html,2007,2007,"South Plains College, California State University, Fresno",false
Thon Maker,/players/m/makerth01.html,2017,2018,,true
Jeff Malone,/players/m/malonje01.html,1984,1996,Mississippi State University,false
Karl Malone,/players/m/malonka01.html,1986,2004,Louisiana Tech University,false
Moses Malone,/players/m/malonmo01.html,1975,1995,,false
Matt Maloney,/players/m/malonma01.html,1997,2003,"Vanderbilt University, University of Pennsylvania",false
Steve Malovic,/players/m/malovst01.html,1980,1980,"University of Southern California, San Diego State University",false
Danny Manning,/players/m/mannida01.html,1989,2003,University of Kansas,false
Rich Manning,/players/m/manniri01.html,1996,1997,"Syracuse University, University of Washington",false
Pace Mannion,/players/m/mannipa01.html,1984,1989,University of Utah,false
Pete Maravich,/players/m/maravpe01.html,1971,1980,Louisiana State University,false
Devyn Marble,/players/m/marblde01.html,2015,2016,University of Iowa,false
Roy Marble,/players/m/marblro01.html,1990,1994,University of Iowa,false
Stephon Marbury,/players/m/marbust01.html,1997,2009,Georgia Institute of Technology,false
Sarunas Marciulionis,/players/m/marcisa01.html,1990,1997,,false
Jack Marin,/players/m/marinja01.html,1967,1977,Duke University,false
Shawn Marion,/players/m/mariosh01.html,2000,2015,"University of Nevada, Las Vegas",false
Boban Marjanovic,/players/m/marjabo01.html,2016,2018,,true
Lauri Markkanen,/players/m/markkla01.html,2018,2018,University of Arizona,true
Damir Markota,/players/m/markoda01.html,2007,2007,,false
Sean Marks,/players/m/marksse01.html,1999,2011,University of California,false
Ricky Marsh,/players/m/marshri01.html,1978,1978,Manhattan College,false
Donny Marshall,/players/m/marshdo02.html,1996,2003,University of Connecticut,false
Donyell Marshall,/players/m/marshdo01.html,1995,2009,University of Connecticut,false
Kendall Marshall,/players/m/marshke01.html,2013,2016,University of North Carolina,true
Rawle Marshall,/players/m/marshra01.html,2006,2007,"Ball State University, Oakland University",false
Bill Martin,/players/m/martibi01.html,1986,1988,Georgetown University,false
Bob Martin,/players/m/martibo01.html,1994,1995,University of Minnesota,false
Brian Martin,/players/m/martibr01.html,1986,1986,University of Kansas,false
Cartier Martin,/players/m/martica01.html,2009,2015,Kansas State University,false
Cuonzo Martin,/players/m/marticu01.html,1996,1997,Purdue University,false
Darrick Martin,/players/m/martida01.html,1995,2008,"University of California, Los Angeles",false
Fernando Martin,/players/m/martife01.html,1987,1987,,false
Jarell Martin,/players/m/martija01.html,2016,2018,Louisiana State University,true
Jeff Martin,/players/m/martije01.html,1990,1991,Murray State University,false
Kenyon Martin,/players/m/martike01.html,2001,2015,University of Cincinnati,false
Kevin Martin,/players/m/martike02.html,2005,2016,Western Carolina University,false
Maurice Martin,/players/m/martima01.html,1987,1988,Saint Joseph's University,false
Jamal Mashburn,/players/m/mashbja01.html,1994,2004,University of Kentucky,false
Anthony Mason,/players/m/masonan01.html,1990,2003,Tennessee State University,false
Desmond Mason,/players/m/masonde01.html,2001,2010,Oklahoma State University,false
Frank Mason,/players/m/masonfr01.html,2018,2018,University of Kansas,true
Roger Mason,/players/m/masonro01.html,2003,2014,University of Virginia,false
Tony Massenburg,/players/m/masseto01.html,1991,2005,University of Maryland,false
Mangok Mathiang,/players/m/mathima01.html,2018,2018,University of Louisville,true
Wes Matthews,/players/m/matthwe01.html,1981,1990,University of Wisconsin,false
Wesley Matthews,/players/m/matthwe02.html,2010,2018,Marquette University,true
Marlon Maxey,/players/m/maxeyma01.html,1993,1994,"University of Minnesota, University of Texas at El Paso",false
Jason Maxiell,/players/m/maxieja01.html,2006,2015,University of Cincinnati,false
Cedric Maxwell,/players/m/maxwece01.html,1978,1988,University of North Carolina at Charlotte,false
Vernon Maxwell,/players/m/maxweve01.html,1989,2001,University of Florida,false
Scott May,/players/m/maysc01.html,1977,1983,Indiana University,false
Sean May,/players/m/mayse01.html,2006,2010,University of North Carolina,false
Lee Mayberry,/players/m/maybele01.html,1993,1999,University of Arkansas,false
Clyde Mayes,/players/m/mayescl01.html,1976,1977,Furman University,false
Tharon Mayes,/players/m/mayesth01.html,1992,1992,Florida State University,false
Bill Mayfield,/players/m/mayfibi01.html,1981,1981,University of Iowa,false
Eric Maynor,/players/m/maynoer01.html,2010,2014,Virginia Commonwealth University,false
O.J. Mayo,/players/m/mayooj01.html,2009,2016,University of Southern California,true
Travis Mays,/players/m/maystr01.html,1991,1993,University of Texas at Austin,false
Luc Mbah a Moute,/players/m/mbahalu01.html,2009,2018,"University of California, Los Angeles",true
Bob McAdoo,/players/m/mcadobo01.html,1973,1986,University of North Carolina,false
James Michael McAdoo,/players/m/mcadoja01.html,2015,2018,University of North Carolina,true
Ray McCallum,/players/m/mccalra01.html,2014,2016,University of Detroit Mercy,false
Bob McCann,/players/m/mccanbo01.html,1990,1998,"Upsala College, Morehead State University",false
Mel McCants,/players/m/mccanme01.html,1990,1990,Purdue University,false
Rashad McCants,/players/m/mccanra01.html,2006,2009,University of North Carolina,false
Andre McCarter,/players/m/mccaran01.html,1977,1981,"University of California, Los Angeles",false
Kelly McCarty,/players/m/mccarke01.html,1999,1999,University of Southern Mississippi,false
Walter McCarty,/players/m/mccarwa01.html,1997,2006,University of Kentucky,false
Amal McCaskill,/players/m/mccasam01.html,1997,2004,Marquette University,false
Patrick McCaw,/players/m/mccawpa01.html,2017,2018,"University of Nevada, Las Vegas",true
